label  : frequency
000000 : 16926
000001 : 390
000010 : 26
000011 : 240
000100 : 1334
000101 : 1
000110 : 56
000111 : 74
001000 : 5333
001001 : 3433
001010 : 110
001011 : 88
001100 : 159
001101 : 782
001110 : 134
001111 : 129
010000 : 5314
010001 : 174
010010 : 6551
010011 : 108
010100 : 414
010101 : 140
010110 : 89
010111 : 35
011000 : 1198
011001 : 405
011010 : 419
011011 : 261
011100 : 435
011101 : 186
011110 : 137
011111 : 1555
100000 : 1266
100001 : 53
100010 : 119
100011 : 0
100100 : 272
100101 : 0
100110 : 45
100111 : 1
101000 : 448
101001 : 272
101010 : 248
101011 : 223
101100 : 230
101101 : 110
101110 : 432
101111 : 296
110000 : 207
110001 : 116
110010 : 441
110011 : 61
110100 : 194
110101 : 161
110110 : 84
110111 : 741
111000 : 673
111001 : 269
111010 : 58
111011 : 169
111100 : 465
111101 : 1225
111110 : 492
111111 : 10127
